"communityname","population","state","medIncome","medIncomein000s","PctRecImmig5","PctNotHSGrad","PctUnemployed","PopDens","LemasSwornFT","PctFam2Par","PctPopUnderPov","PctVacMore6Mos","PctShelter","MedYrHousBuilt","new_murdPerPop","new_rapesPerPop","new_robbbPerPop","new_assaultPerPop","new_burglPerPop","new_larcPerPop","new_autoTheftPerPop","new_arsonsPerPop","calc_ViolentCrimesPerPop","calc_nonViolPerPop","totCrimesPerPop"
"Coppellcity",16881,"TX",58815,58.815,1.9,5.29,2.28,1106.5,NA,87.34,2.51,42.75,0,1985,8.04,0,4.02,32.16,767.84,1419.1,40.2,8.04,44.22,2235.18,2279.4
"GrossePointeWoodscity",17715,"MI",55657,55.657,0.65,8.42,2.21,5241.1,NA,87.48,1.74,26.13,0,1952,0,26.92,56.67,5.67,119.01,1666.19,175.69,0,89.26,1960.89,2050.15
"Pomonacity",131723,"CA",32132,32.132,10.11,40.4,9.08,5570.2,172,71.83,18.43,18.78,0.160184629867221,1963,27.66,56.02,688.14,855.5,1578.22,2573.43,1272.54,269.03,1627.32,5693.22,7320.54
"Manitowoccity",32520,"WI",24202,24.202,1.09,25.55,5.79,2177.5,NA,78.34,10.65,48.29,0,1950,3,23.99,9,74.98,611.84,4072.94,272.93,18,110.97,4975.71,5086.68
"Roswellcity",44654,"NM",21870,21.87,1.04,30.72,6.51,1478.6,NA,69.39,21.62,60.77,0.033591615532763,1961,18.64,82.84,64.2,650.33,1692.11,4753.23,182.26,49.71,816.01,6677.31,7493.32
"GreenOaktownship",11604,"MI",47421,47.421,0.27,12.96,4.31,322.8,NA,87.19,2.87,65.11,0.0258531540847983,1971,0,26.92,8.39,125.82,637.48,1501.43,142.59,25.16,161.13,2306.66,2467.79
"Eastontown",19807,"MA",50647,50.647,0.59,9.74,4.71,672.2,NA,86.33,4,38.24,0,1971,0,0,52.69,86.22,718.49,1096.9,426.31,0,138.91,2241.7,2380.61
"Hermistoncity",10040,"OR",20674,20.674,3.4,28.09,10.06,1715.7,NA,65.8,19.76,37.25,0,1973,0,35.55,26.66,115.52,897.54,4674.31,355.46,8.89,177.73,5936.2,6113.93
"Carrborotown",11553,"NC",19799,19.799,3.84,11.13,4.87,3156.6,NA,64.9,29.43,18.9,0.0605903228598632,1977,14.28,14.28,221.33,335.57,1235.18,5062.12,271.31,0,585.46,6568.61,7154.07
"ElkGroveVillagevillage",33429,"IL",48863,48.863,1.87,12.25,2.48,3001.9,NA,87.89,2.72,14.25,0.00897424391994974,1973,0,26.92,28.8,129.59,480.94,2802.1,259.19,48.96,185.31,3591.19,3776.5
"LittleRockcity",175795,"AR",26889,26.889,0.61,18.05,5.26,1649.7,100,64.44,14.62,36.43,0.079638214966296,1968,37.61,118.9,628.25,2470.95,3205.38,7911.69,1150.86,96.23,3255.71,12364.16,15619.87
"Thomasvillecity",17457,"GA",20349,20.349,0.07,34.89,6.6,1162.3,NA,54.99,25.98,52.89,0,1964,15.98,26.63,218.39,330.24,2375.63,5182.7,383.51,53.27,591.24,7995.11,8586.35
"GrandJunctioncity",29034,"CO",19042,19.042,0.66,22.87,8.53,1887.3,NA,61.04,21.65,32.77,0.154990700557967,1962,12.29,33.8,67.59,463.93,1376.43,6541.11,273.44,58.38,577.61,8249.36,8826.97
"Beltoncity",12476,"TX",18549,18.549,1.6,37.61,8.72,1118.3,NA,70.32,25.98,35.86,0,1967,0,49.28,70.4,168.97,591.38,2224.73,147.85,7.04,288.65,2971,3259.65
"Gallupcity",19154,"NM",26622,26.622,0.97,24.92,5.77,1675.5,NA,65.57,22.96,33.47,0.459434060770596,1971,24.58,118.01,236.01,1229.23,1470.15,9794.47,653.95,59,1607.83,11977.57,13585.4
"NiagaraFallscity",61840,"NY",20641,20.641,0.41,32.33,10.83,4248.1,155,58.52,18.64,54.75,0.263583441138422,1942,4.97,64.56,342.68,324.47,1768.04,4853.82,816.14,21.08,736.68,7459.08,8195.76
"Lakewoodtownship",45048,"NJ",29211,29.211,1.49,27.3,7.29,1751.5,94,76.48,16.09,53.91,0.224205292132836,1970,6.47,49.58,271.59,254.35,1558.42,3610.46,448.34,84.06,581.99,5701.28,6283.27
"Menashacity",14638,"WI",27264,27.264,0.14,21.46,4.43,3283.8,NA,74.45,9.92,37.63,0,1956,0,19.13,0,25.51,491.01,4004.59,89.27,6.38,44.64,4591.25,4635.89
"BrownDeervillage",12236,"WI",44495,44.495,0.57,13.33,1.79,2682.6,NA,87.05,4.54,8.19,0,1966,0,8.34,58.37,75.04,408.57,3251.9,325.19,0,141.75,3985.66,4127.41
"NorthCharlestoncity",70218,"SC",21824,21.824,0.5,26.15,4.82,1354.9,138,62.54,21.73,55.87,0.0398758153180096,1973,13.26,144.36,633.41,1473.06,2191.91,8060.57,1222.64,16.2,2264.09,11491.32,13755.41
"NorthMiamicity",49998,"FL",24898,24.898,9.77,30.7,8.23,5728.5,102,61.82,15.48,18.18,0.0200008000320013,1964,5.52,51.55,937.02,824.73,2925.2,5283.41,2623.29,23.93,1818.82,10855.83,12674.65
"Waukeshacity",56958,"WI",36192,36.192,0.37,14.86,3.09,3175.3,NA,78.19,6.13,10,0.0228238351065698,1969,1.65,14.85,31.34,90.72,418.98,2668.95,178.15,28.04,138.56,3294.12,3432.68
"GroveCitycity",19661,"OH",34350,34.35,0.07,18.75,3.23,1879.5,NA,78.18,5.82,14.68,0,1968,0,30.73,70.23,21.95,346.76,2686.33,223.86,0,122.91,3256.95,3379.86
"Smithfieldtown",19163,"RI",42523,42.523,0.2,19.22,4.82,695.7,NA,85.52,4.34,44.25,0,1966,0,20.24,15.18,40.47,273.18,860.02,217.53,15.18,75.89,1365.91,1441.8
"Bluefieldcity",12756,"WV",21319,21.319,0,29.67,5.75,1461.5,NA,70.42,19.92,65.84,0.070555032925682,1945,7.92,7.92,110.81,197.88,783.6,1970.87,102.9,0,324.53,2857.37,3181.9
"Tarborotown",11037,"NC",24375,24.375,0,35.31,4.44,1175.6,NA,63.34,13.39,46.59,0.144966929419226,1966,0,18.2,245.68,1000.91,1401.27,4476.8,54.6,63.69,1264.79,5996.36,7261.15
"Pennsaukentownship",34738,"NJ",36097,36.097,0.31,25.15,4.26,3181.5,NA,75.99,5.46,47.25,0,1954,5.57,8.36,362.1,183.83,1626.65,2203.22,1590.44,19.5,559.86,5439.81,5999.67
"Perrysburgcity",12551,"OH",44277,44.277,0.15,9.53,3.98,2599.8,NA,88.38,2.12,27.88,0,1971,0,0,7.22,14.44,332.18,2202.48,108.32,0,21.66,2642.98,2664.64
"Cullmancity",13367,"AL",21114,21.114,0.14,34.83,4.42,825.7,NA,75.02,17.25,30.99,0.0299244407870128,1965,0,16.46,38.41,334.69,625.48,2935.37,175.57,21.08,389.56,3757.5,4147.06
"Veronatownship",13597,"NJ",55248,55.248,1.31,10.5,2.54,4770.2,NA,88.9,1.73,20.19,0,1952,0,7.24,57.89,123.01,311.14,1403.76,246.02,0,188.14,1960.92,2149.06
"Fultoncity",12929,"NY",22955,22.955,0.2,28.49,10.35,3318.2,NA,65.43,16.3,37.5,0,1943,30.81,7.7,84.72,46.21,962.72,4351.51,115.53,30.81,169.44,5460.57,5630.01
"Jacksoncity",196637,"MS",23270,23.27,0.42,24.97,8.79,1741.2,350,57.38,22.68,40.18,0.0472952699644523,1965,42.54,88.66,771.31,522.23,3623.87,5946.51,2077.66,74.31,1424.74,11722.35,13147.09
"Azusacity",41333,"CA",31889,31.889,9.98,37.27,8.28,4433,NA,69.33,14.28,21.86,0,1967,9.24,39.25,233.2,376.36,1304.55,2038.79,796.58,27.71,658.05,4167.63,4825.68
"Barringtontown",15849,"RI",53058,53.058,0.74,11.13,3.98,1817.1,NA,88.6,1.8,54.72,0,1952,0,0,31.69,50.7,196.45,1666.67,31.69,12.67,82.39,1907.48,1989.87
"UpperChichestertownship",15004,"PA",40216,40.216,0.2,21.62,2.91,2156.5,NA,81.06,4.15,35.44,0,1966,0,26.21,117.95,137.61,399.71,2077.19,478.34,19.66,281.77,2974.9,3256.67
"Homewoodcity",22922,"AL",30516,30.516,1.16,9.38,3.15,3001.8,NA,73.75,6.66,28.81,0,1960,8.31,16.62,241.05,108.06,748.1,4596.65,727.32,21.08,374.04,6093.15,6467.19
"Englewoodcity",24850,"NJ",46758,46.758,5.79,19.9,5.32,4870.3,NA,69.19,8.42,35,0.0845070422535211,1949,4,35.97,275.8,307.78,1291.07,2774,523.62,4,623.55,4592.69,5216.24
"Daytoncity",182044,"OH",19779,19.779,0.26,31.66,10.39,3194.8,506,49.22,26.53,48.9,0.223023005427259,1946,27.32,150.01,822.52,629.58,2399.53,5282.53,1638.91,144.99,1629.43,9465.96,11095.39
"SanLeandrocity",68223,"CA",35681,35.681,3.3,20.55,5.29,5022.3,NA,72.16,4.98,19.79,0.0249182826905882,1956,7.16,35.8,512.61,349.37,1218.52,4879.79,1010.9,41.52,904.94,7150.73,8055.67
"Simpsonvilletown",11708,"SC",34990,34.99,0.43,21.56,3.64,2046.9,NA,79.63,4.04,15.79,0,1977,0,30.79,30.79,92.36,500.27,1685.52,100.05,0,153.94,2285.84,2439.78
"Tooelecity",13887,"UT",29784,29.784,0.26,22.66,10.08,1079.2,NA,75.35,11.94,45.11,0,1964,6.61,19.83,6.61,165.23,753.47,3456.71,376.73,0,198.28,4586.91,4785.19
"CanonCitycity",12687,"CO",18423,18.423,0.35,25.18,9.17,1554,NA,69.97,18.95,39.27,0.0551745881611098,1961,0,76.68,41.82,104.56,1080.44,3373.76,181.24,6.97,223.06,4642.41,4865.47
"Summervilletown",22519,"SC",31448,31.448,0.26,16.7,4.22,1558.2,NA,77.21,9.83,39.12,0,1979,4.43,57.59,181.64,456.32,1391.1,5511.25,420.88,0,699.98,7323.23,8023.21
"WestWhitelandtownship",12403,"PA",50598,50.598,0.83,6.44,3.06,923.7,NA,86.83,1.55,27.76,0,1976,0,7.93,23.78,39.64,356.75,3234.5,436.02,15.86,71.35,4043.13,4114.48
"WhitePlainscity",48718,"NY",44004,44.004,6.12,19.69,5.02,4794.1,200,73.04,7.68,36.19,1.10636725645552,1950,0,14.09,169.08,183.17,412.64,4430.35,559.58,8.05,366.34,5410.62,5776.96
"DelCitycity",23928,"OK",25550,25.55,0.22,23.07,7.85,3064.5,NA,69.81,14.87,56.71,0,1964,8.37,79.5,117.16,87.87,1196.75,3293.16,447.74,8.37,292.9,4946.02,5238.92
"ElkRivercity",11143,"MN",37549,37.549,0,14.45,6.97,252.1,NA,80.62,7,29.03,0.0269227317598492,1978,0,26.92,15.1,83.08,725.02,2628.2,151.05,7.55,125.1,3511.82,3636.92
"Ridgelandcity",11714,"MS",31938,31.938,0.32,8.27,3.2,1049.6,NA,76.08,4.88,13.37,0,1982,7.02,21.07,154.55,70.25,758.69,4137.69,316.12,0,252.89,5212.5,5465.39
"Laurelcity",19438,"MD",44002,44.002,1.76,13.22,2.22,5924.1,NA,72.24,3.5,17.27,0,1977,4.6,36.83,345.27,239.39,989.78,3526.38,731.98,21.08,626.09,5269.22,5895.31
"Collingswoodborough",15289,"NJ",33026,33.026,1.3,17.6,3.63,8070.6,NA,73.72,6.09,33.73,0,1939,0,0,187.16,221.82,1053.65,2807.43,942.74,13.86,408.98,4817.68,5226.66
"LosAltoscity",26303,"CA",79579,79.579,1.48,4.3,2.87,3985.3,NA,90.37,1.23,25.19,0.0304147815838498,1958,0,21.17,31.75,52.92,733.79,1171.24,63.5,38.81,105.84,2007.34,2113.18
"Owassocity",11151,"OK",33000,33,0.2,15.96,3.92,1793.9,NA,82.35,8.57,53.16,0,1978,0,38.28,38.28,68.91,643.14,1906.44,206.72,45.94,145.47,2802.24,2947.71
"Milpitascity",50686,"CA",55730,55.73,7.66,19.05,4.86,3556.4,NA,80.2,4.9,10.93,0,1973,0,32.02,110.3,185.03,725.88,2997.79,378.95,7.12,327.35,4109.74,4437.09
"Monroetown",16896,"CT",59967,59.967,0.14,10.87,4.25,624.4,NA,91.06,2.09,35.88,0,1967,0,0,23.32,75.8,548.1,1072.89,99.13,17.49,99.12,1737.61,1836.73
"Middletowntownship",68183,"NJ",54053,54.053,0.61,15.09,4.65,1600.5,NA,88.81,2.43,39.28,0,1965,0,7.01,18.22,43.45,323.8,1185.85,61.68,1.4,68.68,1572.73,1641.41
"SanRafaelcity",48404,"CA",41922,41.922,7.76,11.04,4.77,2816.8,NA,71.14,8.08,16,0.351210643748451,1963,4.09,20.45,163.64,372.27,1047.27,3974.31,630,49.09,560.45,5700.67,6261.12
"ElPasocity",515342,"TX",23460,23.46,4.7,34.67,9.85,2027.3,738,72.19,25.32,29.26,0.0696624765689581,1970,7.96,47.61,264.48,714.99,956.09,4988.01,939.66,78.11,1035.04,6961.87,7996.91
"Pembroketown",14544,"MA",46932,46.932,0.16,12.83,7.29,642.6,NA,86.9,4.11,48.84,0,1967,0,12.93,25.86,265.11,459.1,1603.62,226.32,0,303.9,2289.04,2592.94
"Wheelingcity",34882,"WV",21053,21.053,0.14,25.28,6.66,2440.7,NA,69.05,16.91,66.89,0,1939,2.93,35.21,164.32,331.57,1138.5,1634.39,258.22,29.34,534.03,3060.45,3594.48
"Northbridgetown",13371,"MA",36634,36.634,0.15,26.99,7.65,750.7,NA,77.29,5.86,34.75,0,1944,0,21.53,7.18,646.04,380.45,1170.05,86.14,0,674.75,1636.64,2311.39
"Moultriecity",14865,"GA",16574,16.574,0.38,45.64,7.72,1097.9,NA,48.56,34.5,46.85,0.12108980827447,1963,19.08,89.06,318.07,852.42,1914.76,6024.17,432.57,25.45,1278.63,8396.95,9675.58
"ElRenocity",15414,"OK",22027,22.027,0.27,27.8,7.84,186.8,NA,70.36,20.96,65.93,0.0324380433372259,1956,25.16,75.49,150.98,257.93,1157.52,2849.77,358.58,113.24,509.56,4479.11,4988.67
"Bergenfieldborough",24458,"NJ",45713,45.713,3.9,17.66,5.04,8160.3,NA,83.53,3.34,29.66,0.0776841933109821,1949,0,0,47.97,103.94,439.75,1247.3,99.94,4,151.91,1790.99,1942.9
"SpringGardentownship",11207,"PA",37044,37.044,0.17,16.3,2.8,1627.4,NA,85.86,4.73,32.41,0,1949,0,8.77,52.65,8.77,394.84,2816.53,52.65,8.77,70.19,3272.79,3342.98
"LomaLindacity",17400,"CA",33265,33.265,8.08,16.78,4.72,2402,NA,73.74,11.76,11.73,0.201149425287356,1975,5.39,10.77,161.55,172.32,1647.82,2837.91,1389.34,10.77,350.03,5885.84,6235.87
"Moscowcity",18519,"ID",19977,19.977,3.54,7.68,6.09,3730.7,NA,79.84,23.4,29.38,0,1965,0,20.61,5.15,133.96,417.33,1787.83,87.59,20.61,159.72,2313.36,2473.08
"Hurstcity",33574,"TX",37473,37.473,1.04,13.94,5.45,3283.8,NA,77.07,7.77,30.72,0,1970,5.57,100.23,175.39,579.08,1044.02,4963.95,556.81,19.49,860.27,6584.27,7444.54
"TerreHautecity",57483,"IN",19118,19.118,1.01,27.66,8.33,2006.2,117,65.58,20.43,49.09,0.126994067811353,1939,9.88,51.04,79.03,181.12,1738.76,4674.56,433.04,39.52,321.07,6885.88,7206.95
"Brawleycity",18923,"CA",22365,22.365,3.72,48.61,14.81,3675.8,NA,68.15,24.31,29.43,0,1964,4.56,18.23,173.22,793.18,1992.07,3455.35,355.56,72.94,989.19,5875.92,6865.11
"Oregoncity",18334,"OH",34704,34.704,0.07,24.14,6.57,606.1,NA,79.91,7.67,35.91,0,1963,0,38.13,185.23,179.78,730.01,4134.89,528.44,38.13,403.14,5431.47,5834.61
"Freeportcity",11389,"TX",21483,21.483,1.95,41.9,9.57,959,NA,73.62,24.2,49.76,0.0439020107120906,1959,0,8.11,89.26,494.97,1135.99,3334.96,681.6,48.69,592.34,5201.24,5793.58
"Edwardsvillecity",14579,"IL",32733,32.733,1.06,15.12,4.28,1612.7,NA,80.26,9,32.71,0,1958,6.56,26.92,45.95,157.54,577.66,2599.45,105.03,13.13,236.97,3295.27,3532.24
"Penntownship",15945,"PA",33219,33.219,0,17.69,5.87,507.3,NA,90.78,3.75,63.64,0,1966,0,42.17,42.17,16.87,497.64,2791.84,151.82,59.04,101.21,3500.34,3601.55
"LowerMorelandtownship",11768,"PA",60925,60.925,0.82,8.97,2.72,1561.2,NA,91.05,2.33,22.47,0,1964,0,8.36,25.07,50.14,459.6,1311.94,325.9,8.36,83.57,2105.8,2189.37
"Manheimtownship",28880,"PA",41450,41.45,0.39,17.21,2.34,1162.1,NA,86.51,2.42,32.58,0,1966,0,3.4,61.28,61.28,333.63,2505.62,146.39,10.21,125.96,2995.85,3121.81
"SanBernardinocity",164164,"CA",25533,25.533,5.25,31.91,10.69,2876.8,1139,61.49,22.79,26.26,0.504373675105382,1963,44.9,70.63,848.7,2083.42,2595.38,4604.89,1968.99,78.85,3047.65,9248.11,12295.76
"WestHollywoodcity",36118,"CA",29314,29.314,9.05,15.06,7.04,18541.1,NA,67.66,11.43,20.99,0.038761836203555,1959,14.44,75.11,1401.09,1016.87,1949.97,5309.68,2510.4,57.78,2507.51,9827.83,12335.34
"Rochestercity",231636,"NY",22785,22.785,1.34,31.21,8.8,6248.1,628,46.1,23.5,32.68,0.126923276174688,1939,27.74,68.91,709.86,365.33,2747.57,5860.05,1280.18,150.81,1171.84,10038.61,11210.45
"Normancity",80071,"OK",25165,25.165,2.02,12.86,6.05,436.6,121,75.6,15.04,41.89,0.039964531478313,1973,2.28,38.71,43.27,145.74,1184.17,3426.13,343.87,11.39,230,4965.56,5195.56
"TheColonycity",22113,"TX",42743,42.743,0.67,10.07,4.49,1825.7,NA,88.01,2.85,32.63,0,1980,0,3.71,18.54,118.64,622.85,1953.81,159.42,92.69,140.89,2828.77,2969.66
"Gladstonecity",10152,"OR",32069,32.069,0.73,14.44,3.65,4003.2,NA,75.92,3.89,30.56,0,1969,0,45.5,81.89,154.69,900.82,3475.89,609.65,63.69,282.08,5050.05,5332.13
"Lowellcity",103439,"MA",29351,29.351,5.36,34.21,10.68,7247.1,177,62.75,17.99,27.72,0.175949110103539,1944,6.21,50.74,312.7,904.97,2323.51,3236.76,2030.48,171.88,1274.62,7762.63,9037.25
"LaPortecity",27910,"TX",41733,41.733,0.57,18.36,5.22,1397.2,NA,81.51,8.82,48.42,0,1975,3.17,69.83,47.61,263.46,577.7,1641.06,247.59,15.87,384.07,2482.22,2866.29
"Victoriacity",55076,"TX",25576,25.576,0.43,29.31,6.83,1765,NA,73.92,18.88,46.96,0.012709710218607,1969,6.48,34.02,132.85,759.83,1808.05,4939.73,398.55,34.02,933.18,7180.35,8113.53
"Gainesvillecity",17885,"GA",25689,25.689,4.6,31.82,5.04,760.4,NA,59.56,18.74,25.88,0.206877271456528,1968,15.09,40.25,236.44,940.74,1121.84,5911.06,699.27,55.34,1232.52,7787.51,9020.03
"Yarmouthtown",21174,"MA",27222,27.222,0.92,14.01,7.93,842.7,NA,65.23,9.5,57.9,0.0566732785491641,1970,0,40.09,40.09,365.24,1247.16,2636.85,249.43,31.18,445.42,4164.62,4610.04
"Soloncity",18548,"OH",54005,54.005,0.17,11.44,2.32,877,NA,90.43,2.48,26.15,0,1972,0,0,24.32,34.05,243.19,1478.6,194.55,0,58.37,1916.34,1974.71
"Davenportcity",95333,"IA",26218,26.218,0.66,21.19,6.51,1499.7,142,68,15.59,43.56,0.112238154678863,1956,4.11,66.73,297.71,1197,1885.84,5698.59,426.03,67.75,1565.55,8078.21,9643.76
"Raleighcity",207951,"NC",32451,32.451,2.05,13.44,3.97,2277.5,413,69.26,11.8,22.25,0.103389740852412,1974,11.21,39.02,330.02,462.45,1223.37,3900.1,366.56,12.04,842.7,5502.07,6344.77
"Rexburgcity",14302,"ID",19183,19.183,3.6,11.88,8.7,3247.5,NA,86.22,41.77,36.76,0,1973,0,6.72,0,47.01,302.22,3727.33,67.16,6.72,53.73,4103.43,4157.16
"Camdencity",87492,"NJ",17386,17.386,1.4,50.33,16.3,9575.4,291,32.86,36.56,63.87,0.334887761166735,1945,50.42,108.05,1985.69,1386.62,4848.97,4713.31,2180.18,367.36,3530.78,12109.82,15640.6
"Cranberrytownship",14816,"PA",41006,41.006,0.18,9.51,4.56,627.3,NA,88.73,2.54,21.14,0,1978,0,6.64,0,0,212.38,1221.21,159.29,0,6.64,1592.88,1599.52
"ElMontecity",106209,"CA",28034,28.034,16.15,55.72,9.4,10789.2,113,68.91,22.51,29.25,0.270221920929488,1962,18.06,42.78,594.18,663.58,1290.08,2076.3,1139.87,70.35,1318.6,4576.6,5895.2
"Hudsontown",19530,"NH",47859,47.859,0.81,14.96,6.71,666.9,NA,85.12,2.89,30.15,0,1977,0,30.4,15.2,45.6,339.5,1611.35,177.35,25.34,91.2,2153.54,2244.74
"Austincity",465622,"TX",25414,25.414,2.89,17.67,6.32,2063.8,795,68.53,17.93,39.57,0.102658379543922,1974,7.37,53.98,309.75,228.68,1683.8,7100.74,867.9,121.51,599.78,9773.95,10373.73
"OldBridgetownship",56475,"NJ",47482,47.482,2.38,16.79,4.49,1434,87,84.91,3.47,49.73,0,1966,1.7,5.1,50.98,83.28,540.44,1638.31,446.97,33.99,141.06,2659.71,2800.77
"Hannibalcity",18004,"MO",20095,20.095,0.31,31.64,9.47,1534.6,NA,74.24,19.21,61.97,0,1951,0,49.29,38.33,569.52,1188.32,4736.87,169.76,54.76,657.14,6149.71,6806.85
"Worcestercity",169759,"MA",28955,28.955,2.24,27.09,8.27,4362.9,392,62.7,15.3,38.99,0.243286070252534,1941,7.22,46.3,377.65,226.525,2047.03,3139.7,1017.5,21.08,657.695,6225.31,6883.005
"Greenwoodcity",20807,"SC",18683,18.683,0.26,43.05,7.69,1592.2,NA,53.96,22.9,52.88,0.0432546739078195,1958,21.53,81.83,271.33,2510.87,1322.19,4358.5,284.25,12.92,2885.56,5977.86,8863.42
"Snydercity",12195,"TX",23497,23.497,0.57,36.01,7.89,1504.8,NA,80.31,18.61,53.95,0,1958,0,24.22,0,726.51,524.7,1977.72,32.29,8.07,750.73,2542.78,3293.51
"TarponSpringscity",17906,"FL",25380,25.38,1.09,25.82,6.91,1990.4,NA,71.49,10.82,31.61,0.0279236010275885,1976,5.08,45.73,162.61,772.4,1006.15,2871.08,142.28,0,985.82,4019.51,5005.33
"Keizercity",21884,"OR",31063,31.063,0.95,18.15,5.55,2914.8,NA,74.1,7.05,16.8,0,1971,0,25.5,47.36,69.22,633.93,3053.05,353.4,40.08,142.08,4080.46,4222.54
"LincolnParkborough",10978,"NJ",53781,53.781,2.36,17.16,3.8,1574.9,NA,82.06,1.6,37.5,0,1966,0,0,0,98.73,215.4,996.23,116.68,8.98,98.73,1337.29,1436.02
"Lackawannacity",20585,"NY",21310,21.31,0.52,34.17,8.55,3246,NA,63.07,16.68,36.24,0.393490405635171,1949,0,14.91,174.01,1252.86,954.56,1924.03,676.15,21.08,1441.78,3575.82,5017.6
"Englewoodcity",11432,"OH",37087,37.087,0.19,15.77,3.15,2129.8,NA,82.67,3.14,16.67,0,1972,0,17.66,26.49,61.81,485.65,4927.15,317.88,61.81,105.96,5792.49,5898.45
"Roanokecity",96397,"VA",22591,22.591,0.41,32.03,5.47,2168.8,242,60.93,16.08,34.62,0.295652354326379,1956,11.27,32.78,222.3,312.45,120.88,4505.41,322.69,58.39,578.8,5007.37,5586.17
"KansasCitycity",435146,"MO",26713,26.713,0.56,21.2,7.23,1348.3,1148,61.2,15.32,36.56,0.137195332141396,1956,34.34,115.59,873.3,1436.88,2717.1,5299.3,1904.84,118.28,2460.11,10039.52,12499.63
"Florencecity",36426,"AL",21459,21.459,0.2,29.79,6.99,1496.5,NA,69.83,18.55,36.99,0.0741228792620656,1962,10.79,24.28,80.94,491.02,930.77,3528.84,178.06,21.08,607.03,4658.75,5265.78
"Cortlandcity",19801,"NY",22550,22.55,0.45,24.93,6.3,4879.5,NA,67.16,20.2,33.15,0.217160749457098,1939,0,40.1,45.11,120.29,862.07,4029.67,150.36,75.18,205.5,5117.28,5322.78
"Norwalkcity",94279,"CA",38124,38.124,6.71,35.34,6.64,9323.5,NA,75.68,9.29,17.31,0.0933399802713223,1957,5.93,32.59,388.15,747.65,1065.68,1771.85,1157.53,20.74,1174.32,4015.8,5190.12
"Yonkerscity",188082,"NY",36376,36.376,4.15,26.45,6.48,10040.9,524,66.68,11.03,43.72,0.134515796301613,1952,10.37,18.56,465.18,243.51,918.34,2507.7,1019.9,48.59,737.62,4494.53,5232.15
"BocaRatoncity",61492,"FL",42314,42.314,3.66,11.56,3.29,2183.4,124,81.02,5.51,22.37,0,1974,10.38,31.14,121.6,197.22,1362.77,3548.55,570.91,10.38,360.34,5492.61,5852.95
"Hamburgtownship",13083,"MI",48481,48.481,0.36,15.53,3.55,389.8,NA,89.01,3.23,45.95,0,1971,0,26.92,14.88,81.83,409.17,1621.78,156.23,22.32,123.63,2209.5,2333.13
"Northfieldcity",14514,"MN",30613,30.613,0.91,15.48,3.05,2373.3,NA,78.71,10.89,11.86,0,1971,0,24.85,6.21,74.54,385.12,2639.92,155.29,37.27,105.6,3217.6,3323.2
"ThousandOakscity",104352,"CA",56856,56.856,3.25,10.22,3.95,2032.4,NA,83.12,4.22,20.11,0.000958295001533272,1974,2.69,19.72,58.28,225.03,581.86,1696.27,308.41,44.83,305.72,2631.37,2937.09
"Rosevillecity",33485,"MN",37862,37.862,0.85,11.41,3.56,2440.2,NA,79.49,3.71,14.83,0,1964,0,26.92,32.95,56.91,593.06,5181.81,401.37,26.96,116.78,6203.2,6319.98
"Brunswickcity",16433,"GA",17959,17.959,0.07,37.67,9.38,920.9,NA,45.55,26.25,46.89,0,1957,38.69,99.5,552.76,1398.49,2421.09,6771.32,641.2,0,2089.44,9833.61,11923.05
"Goldsborocity",40709,"NC",19955,19.955,0.64,25.12,4.96,1868.8,NA,60.23,21.16,39.48,0.068780859269449,1962,13.1,43.66,451.9,969.28,1986.6,5280.85,440.98,26.2,1477.94,7734.63,9212.57
"SanJosecity",782248,"CA",46206,46.206,7.55,22.84,5.54,4408.8,387,74.89,9.31,18.74,0.117226250498563,1970,4.98,47.52,144.13,449.54,730.88,2600.49,487.82,38.65,646.17,3857.84,4504.01
"Oneontacity",13954,"NY",20628,20.628,0.57,20.13,5.3,3079,NA,65.63,23.4,20.97,0.00716640389852372,1939,0,15.35,15.35,99.75,544.77,2040.97,53.71,15.35,130.45,2654.8,2785.25
"Folsomcity",29802,"CA",46726,46.726,1.12,15.77,4.16,1342.4,NA,83.56,5.17,24.36,0,1984,0,10.05,42.71,138.18,567.81,1922.01,266.32,0,190.94,2756.14,2947.08
"LongBeachcity",33510,"NY",41495,41.495,2.4,17.01,5.54,15151.9,NA,74.22,8.31,59.68,0,1955,5.86,2.93,166.9,207.89,831.55,1601.62,603.17,21.08,383.58,3057.42,3441
"Farmingtoncity",33997,"NM",28911,28.911,0.19,20.14,7.17,1395.6,NA,75.8,15.23,46.58,0.0500044121540136,1971,5.41,135.2,102.75,573.25,992.37,5502.68,267.7,37.86,816.61,6800.61,7617.22
"Tredyffrintownship",28028,"PA",61144,61.144,1.52,5.15,2.32,1363.7,NA,85.22,1.8,23.14,0,1966,0,0,35.08,70.15,403.38,1346.94,147.32,21.05,105.23,1918.69,2023.92
"Shelbyvillecity",14049,"TN",20099,20.099,0.64,44.71,6.23,984.4,NA,64.3,19.77,41.75,0,1965,6.28,31.4,81.63,464.68,1161.7,2361.07,138.15,18.84,583.99,3679.76,4263.75
"Maywoodcity",27850,"CA",25567,25.567,15.6,72.05,12.22,23054.6,NA,71.08,21.26,22.83,0,1956,21.83,10.91,291.06,542.09,534.82,1302.48,800.41,32.74,865.89,2670.45,3536.34
